username;text
zei67694;سرکار خانم دکتر طاهره آقایی❤️ در تهران اکباتان❤️❤️❤️
zeynab.mohammadali89;دکتر فخرالسادات جامعی.شیراز
malmal.s86;خانم دکتر شبنم ایمان نژاد مشهد
sab.ka.2021;دکتر زهرا وزیری تهران
happy_kazhal;شیراز دکتر نازفر تولایی @nazfar_tavallaei_
saaraa_sgh;@mamaei.esfahan خانم خالصی عزیز از اصفهان تمام این ویژگی های مثبت را دارند❤️🙏
daily.banoo;کرمانشاه دکتر نسرین جلیلیان گاهی اوقات چندتایی میرن تو اونم مراجعین همش عجله میکنن تا نفر قبلی بیرون نیومده میرن تو
mary.s.home_;دکتر منیر عشوری تهران. بی‌نهایت مهربون و باشخصیت
parisa_fekry;دکتر لعیا سام و دکتر لیلا وزیری من از هردوشون راضی بودم عالی
yegaaneeee;دکتر موید محسنی
fatemeh__taran;@dr.atefeh.kazemi ❤️
_miiina.gh_;دکتر سیده نوشین قلندر پور تهران عالیه الهی خدا بهش سلامتی بده
itsaaaas63;کرمانشاه هستم چند سال پیش مراجعه کردم به دکتر روناک نیازی به جای معاینه شروع کرد نصیحت کردن و از مضرات سکس قبل از ازدواج🤣 بی نهایت غیر حرفه ای👎👎👎
aatiibm;دکتر لیدا حیدری تبریز
mona.rajabalian;@mona.rajabalian در حال حاضر دکتر هدایتی پزشک من هستند. اجتناب از معاینات غیر ضروری ، صبوری در روند درمان ، تا حدودی شوخ طبعی و رفع سنگینی فضای درمان ، احترام به انتخابهای شخصی مثلا روش پیشگیری از بارداری. خلوت بودن مطبشون. تنها ایرادشون اینه که به جز مراجعین باردار برای بقیه پرونده درست نمیکنن و چیزی نمینویسند .
monanoroozii;دکتر لیلی صفدریان-تهران
shaghayegh_varangrood;دکتر فاطمه بختیاری قلعه. تهران
marycurie2016;خانم دکتر مریم سلطانی نژاد، تهران ، باسواد با اخلاق، مهربان
yalda.yaz;دکتر لیلی سخاوت توی یزد یکی از این دکترهای خوب و عالی هستن👌👌👌
somaye_gholipor88;خانم دکتر فرهنگ ادیب...پزشک بسیار باملاحظه ب هیچ عنوان در مورد علت باکره نبودن نمیپرسن و برای اشاره ب این موضوع از اصلاح مناسب استفاده میکنن.شرایط مالی و جسمانی مراجع را ب خوبی درک میکنن و پیشنهادات مناسب ارائه میدن.دارای تخصص بالا هستن و بسیار با دانش
farnoosh.aza;دکتر مهدی سالمی اصفهان
espresso_sd;اقا مگه پزشکی هست که مخالف ورزش باشه!!! جدی سوال شد برام
neda__rastin;دکتر محمد انتظار،مراغه
hodahq;دکتر عاطفه اشتری مطبشون تهران خیابان شریعتی هست. تمام موارد بالا رو دارند فقط در مورد ورزش من هیچ تجربه ای باهاشون نداشتم.
samanehemamii;دکتر مریم باوریان❤️
neda__rastin;دکتر منتظر،ارومیه
r_rafiee_89;هیچ متخصص زنانی در ایران برای دختر باکره آزمایش پاپ اسمیر انجام نمیده
marzieh_jmt;تمام این ویژگی هارو دارن،فضای بسیار آرامش بخش و انرژی مثبتی هم دارند @mamasite.ir
amyshahande;دکتر فرزانه نظری - بوشهر 🙌😍
atefe_ady;دکتر اتوسا اعتمادی فر اصفهان
r.m.moradi;خانم فیروزه ویسی ی پزشک کاملامتعهد بااینکه من از خدمات عمومی استفاده میکردم با ویزیت ایشان کاملا برام وقت گزاشتن و بعد از انحام پاپ اسمیر ازمن پرسیدن چه خدمت دیگه ای از من برمیاد ایشان فوق تخصص بی اختیاری کف لگن و متخصص زنان هستن ایشان کرمانشاه هستن و درکلینیک بوستان دولتی هستن و فکر میکنم مطب توی نوبهارباشه
moni6072;کرج دکتر پروین صادقی
setare_almasi;دکتر «آنیا ذاکری‌الحسینی - کرمانشاه» تمام موارد رو رعایت میکردن و مهم‌تر اینکه از نظر روانی بسیار ب مراجع ارامش و احساس امنیت میده! تو دوران بارداریِ سختِ من ب عنوان مشاور هم کمکم میکرد.
mahboob_mhmdi;دکتر‌ گلنار سرور. کلینیک بیمارستان دنا، شیراز. ایشون بسیار باتجربه هستن و کارشون رو خیلی خوب بلدن. هم اخلاقشون حرفه ای هست هم مهربان و دلسوز هستن. من یک بیماری بشدت پراسترس و خطرناک داشتم ایشون هم تشخیص خوبی داشتن هم در پروسه درمان حامی بودن. هیچ تبلیغی درباره عمل های زیبایی از ایشون ندیدم. نوبت بخواید بگیرید فقط شاید یک نصف روز مجبور بشید پشت در مطب بمونید😂
faezefatehphotography;خانوم دکتر ماندانا سعادت شیراز، بسیار متعهد و با دانش بالا، مخالف هرگونه تبلیغات تجاری و آزمایش اصافی و ویزیت درصدی و ....تنها مشکل ویزیت همزمان چند مریض باهم
shima.jahani.i;دکتر ناهید حاجی باقری
gazanameh;دكتر حنطوش زاده خيابان كشاورز تهران متخصص باردارى هاى سخت هستند و معمولا نوبت به سختى پيدا ميشه منم با نامه شرايط ويژه تونستم برم پيششون ولى فوق االعاده هستن
z.mousavi.ardakani;دکتر مینا سیدعلاقه بند، یزد
negar_zogh;دکتر فهیمه سادات جعفری. بیرجند
azadetbr;گشتم نبود،نگرد نیست 🤷‍♀️
n_sahra70;دکتر مژگان قدیری، شیراز فوق العاده هست فوق العاده باید برید تا بفهمید معنی فوق العاده و اخلاق و حرفه ای بودن چیه😍
neda.az.64;دكتر نسيمه كمالي، تهران، محدوده ميدان هروي ،( ميدان ملت)
ameneh_habibnia;آره، تو گیلان پزشکا برای بیمار وقت نمیزارن. یه پزشک دستیار هم کنار خودشون دارن، اصلا آدم احساس راحتی با پزشکش نمیکنه.
monamon.kitchen;دکتر رویا ،تهران  بسيار با اخلاق و حاذق در خصوص ورزش در بارداري اطلاع ندارم نظرشون چيه
mrs.ebrahiimii93;دكتر ليلا عزيزي تهران فقط من در مورد ورزش نظرشون رو نميدونم ولي حدس ميزنم موافق باشن @d.azizi
minablukazari;چقدر خوب چقدر دکتر حسابی ایران هنوز قشنگیاشو داره امید دار شدم 😍
fitsheen.official;@dr.somayeh.saleki
amyshahande;@dr.farzanehnazari دکتر فرزانه نظری - بوشهر😍 بی نظیرند
82.samasal;دكتر عزيز باصر.بسيار محترم و حاذق هستن.تهران.قائم مقام.
hanan_s_aa;اصلا موافق نیستم حداقل دو مورد از این لیست شامل حال ایشون نمیشه
sepideh_sokhansanj;دکتر کتایون کارگر -شیراز
angela_20pre;دکتر ازاده رضایی ، تهران، شهرک فردوس
elahehh_vk;دکتر نگار یحیی زاده،تبریز
z.mor.0066;دکتر ناهید مظاهری، اصفهان، البته مورد چهار رو من باهاش روبه رو نشدم و سوال نکردم که نظرشون رو بدونم.
royaedrki_;دکتر پرستو سهیل-بوشهر(گزینه آخر تجربه‌ای نداشتم نه خودم نه دوستانی که معرفی کرده بودم)
razieh.sasani;دکتر فرزانه نجات الهی شیراز.ه
mariya_e57;دکتر ندا خیری مطلق یه فرشته به تمام معنا پیششون برید عاشق شخصیتشون میشید ❤️❤️❤️❤️❤️❤️
m.ghaaf;دکتر آیدا پرویزی. رشت. خ نواب
mehrnaz.k00;@shehni_beauty_center دقیقا
khayatbashi.ir;ندادن شرم بدن یعنی چی؟
forouzan_fazeli;خانم دکتر هما اصغری فرد تهران ولی گزینه اخر رو نمیدونم دارن یا نه
mina.mamnun;دکتر سمیرا سلطان پور یزد من شخصا تجربه خیلی خوبی ازشون دارم بسیار متعهد و دلسوز و محترم هستن
hodafit;@shehni_beauty_center من طبیعتا پزشکان رو نمیشناسم اما تو لیستی که بهم ایمیل شده بود تو اهواز دکتر جواد مرفوع و دکتر ساره امیرزاده رو توصیه کرده بودند.
paint.by.maya;از همه مهمتر تشخیص درست 😢
minaataaheri;دکتر سیمین نایب هاشمی، تهران، خیابان دماوند
hodafit;@zei67694 ایشون رو چند نفر گفته بودند ❤️
zzeeiittoonn;دکتر جهانگیر درخشان تهران
razieh.sasani;دکتر فرزانه نجات الهی. اینکه عمل رو انجام میده یا نه دقیق نمیدونم ولی باقی شرایط رو دارن .خیلی هم مهارت دارن توی کارشون ..مطب هم شیراز تقریبا چهار راه زرگری
mi.moo63;لطفاً تو اصفهان معرفی کنید من هیچ پزشک متخصص زنانی رو نمی‌شناسم که امن باشه یا به حریم خصوصی بیمار احترام بزاره و رفتارش محترمانه باشه
darabi1380;دکتر مهر السادات عرشی اراک
haleh_vejdani;لعیا فرزدی تبریز
toranj.mod;دکتر نیلچی ،شهر یزد.بدترین و فاجعه ترین پزشک زنانی که دیدم،کاملا واضح جز پول هییییچچچچ چیزی براشون مهم نیست،بلایی سر من آوردن که هنوز بعد از ۱۲ سال ازش متنفرم
homayuni.kh;@hanieh_ramezanian96 اینکه حاذق و خوش اخلاق هستند حرفی توش نیست اما وقت نمیدارن وتشویق به سزارین می کنن خیلی پولکی هستند
zei67694;هم دکتر باسواد و مسلطی هستند و هم فوق العاده با شخصیت و با اخلاق😍
ghazal2aa;@dr_ensafgoo یکی از بهترین پزشکان زنان و زایمان در تهران.
hodafit;@hanie.hasani ایشون رو هم چند نفر توصیه کردند ❤️
shafiei_zeinab;اصفهان که دکترای معروفش کلا برعکس هستن چند نفر داخل میکنن ، حتی سونوگرافی هنوز نفر قبلی از تخت پایین نیومده نفر بعدی را لخت میفرستن داخل
a.t.p_fit;@khayatbashi.ir یعنی درباره اندام جنسی نظرات زیبایی یا زشتی نده. عزیزم چرا اینجات اینطوری مثلا باید عمل فلان کنی‌.یا نظرات اینچنین
za_hraa5607;دکتر نجمه خانی شیراز بی نظیرن😍
zarbanoo.life;شیراز اگر دکتر خوب زنان برای زایمان و مراقبت هاش سراغ دارید معرفی کنید
dr.newsha.behzadseresht;تو کاشان خانم دکتر زهره طبسی
mina.rouzbahanii;توی شهر همدان و شهرستان ملایر همچین پزشکی وجود نداره
farnaz.s136994;اهواز اوضاع خیطه انگار، تو رو خدا بیاد یکی و معرفی کنید خو😢
azinkorourian;خانم دکتر شبنم بهروزفر، تهران، بیمارستان عرفان سعادت آباد و مطب خیابان پاتریس لوومبا. بسیار دلسوز، خوش اخلاق و باسواد😍
dr.newsha.behzadseresht;تو یزد خانم دکتر مژگان حاجی صفری@dr.mojgan_hajisafari
sara.kitchenn;دکتر آزاده رضایی@dr.azadeh_rezaee
a.t.p_fit;دکتر روح انگیز رحیمی. مشهد
zohrehsalman;قبل از همه دکتر زنانی خوبه که تشخیص خوب و بهترین روش درمان رو داشته باشن این موارد گفته شده دیگه به نظرم دکتر نمیتون باشن یه عده کلاش کاسبکار هستند هرگز پا به چنین مطبهای نمیگذارم .دکتر منیر عشوری در تهران یکی از بهترین و شریف ترین و باسوادترین دکترهایی هستن که سالهاست تحت نظرشون هستم
sweet_lover_mah;@fara_bakhshi_ ولی خیلی متبحر نیست ولی باخلاق هستن
fatemehmacron;ساره امیرزاد خیلی خوبن هدا، من چند سالی بیمارس بود ، چون از بچکی تشنج داشتم همیشه کیست داشتم و پریود نمیشدم، تا اینکه خانم دکتر فقط زنان باردار رو قبول کرد ، و دیگه ما رو نمیپذیرفتن. من هم در ب در شدم . و دوباره ۳یا ۴ماه یه بار پریودی
fatemeh____rh;دکتر ملیحه حسن زاده مفرد در مشهد بسیار باهوش مسلط و مهربون هستن 😍
atisunliight;دکتر مریم السادات حسینی تهران واقعا یکی از بهترین ها هستن
shaaad.mashayekhi;دکتر مرفوع بدترینه چه قدر فحاشی کرده به مادر من به وقت زایمان🤦‍♀️
nazfar.forghani;@dr.yasaman_pakniat ❤️تهران خانم دکتر پاک‌نیت
raihanehk;اصفهان هم خانم دکتر فرشته حقیقت تمام نکات گفته شده را دارند❤️❤️❤️
z_sabeti_1985;@khayatbashi.ir یعنی موقع معاینه نگه وای بدنت چرا این رنگیه ، بیا لیزر کن ، بیا عمل کن کوچیک بشه ، بزرگ بشه ... هی جو نده که تو نسبت به بدن خودت حس بدی پیدا کنی و ...
ghazal.shb;یکی از بهترین ها که برا دوتا پسرم تحت نظرشون بودم و واقعا دلسوز و مهربان و منصف بودن @dr_maryamsadat_mireshghi دکتر مریم سادات میرعشقی
rozhan.kh68;دکتر پروانه سیار در تهران واقعا همه این شرایطو دارن
golnaz.2021;@rojataqvaee چه طور پزشکی که همزمان چند بیمار رو میبینه دکتر خوبی هست؟ من ب شدت بااین کار معذب میشم و این حق من هست تایم من هست که اونو ب خاطر پول بیشتر ویزیت بیماران بیشتر از من میگیره اسم ایشون دکتر پولکی هست نه پزشک خوب و مهربان و دلسوز و اخلاق مدار
frnz.soleimani;دکتر مرفوع خیلی دکتر خوب و شریفیه
smaanh_rzbahny;@dr.shabnam.mirdamadi
alice_in_wonderland_sino;تهران/دكتر ربابه طاهري پناه❤️
marieyeh;خانم دكتر سهيلا عارفي
neda__rastin;@dr.shahpor_montazer ❤️
atsesa74;دکتر سارا عبداللهی کشکولی شیراز عالیههههه
faezeh_pourshahla;خانم دکتر فاطمه نظری در تبریز
mahshad.mazzz;دکتر شهره موحدی تهران
omidifarzaneh;@mi.moo63 خانم دکتر جهرمی زاده به نظرم کاملا امن بودن و شدیداً محترم در حدی که من تونستم نزدیک به زایمان یکی از مشکلات کاملا خصوصیم را با ایشون مطرح کنم و ایشون هم طبق شرایط من برنامه ریزی زایمان را انجام دادن، با توجه به اینکه به صورت طبیعی هم زایمان کردم
razie.pooyandeh;دکتر فرزانه نیک نفس- بیمارستان صارم- تهران
ati.saadat;@atefe_ady در مورد من یک تشخیص بسیار غلط دادن که خوشحالم با دکترهای دیگر مشورت کردم. توصیه به عملی کردن که اصلا لزومی نداشت .
hodafit;@alice_in_wonderland_sino منم تو ایران پیش ایشون یک بار رفتم 😃
dr.solmaz_salehyan;دکتر جلیله اشجعی،تهران ،میدون مادر، شرم بدن نمیدن و درصورت درخواست بیمار جراحی زیبایی انجام میدن و تازه فهمیدم توی این شیش سال که بیمارشون بودنم نمیدونستم ،چون هرگز تبلیغ کارزیبایی نکرده بودن،حریم خصوصی رو خیییلی خوب رعایت میکنند، اصلا مخالف ورزش نیستن،به من گفتن هر ورزشی که تاحالا میکردی و الان ادامه بده، استرس بیخودی نمیدن،حتی درمورد بچه من که دوهفته اخر وزن نمیگرفت خیلی معمولی گفت برو سونوداپلر،انگار جز پروسه درمانه و اثلا استرس نداد بهم .زایمان من طبیعی بود،خواهرم ام پیش همین دکتر کیست تخمدان جراحی کرده،(مجرده) با روش لاپراسکوپی،درمورد بکارت و اینچیزا ام ما ازش هیچ بدخورد منفی ندیدیم
neda__rastin;@dr.mohammad_entezar ❤️
smaanh_rzbahny;@smaanh_rzbahny ایشون کالکشنِ تمامِ خوبی ها هستند. و من برای همه ی زندگیم ممنونم ازشون.
sa.ra_6513;دکتر لیلا محمدی ، البته ایشان دو نفر وارد اتاقش میشن ولی اتاق معاینه اش مجزا هست # طرفدار طبیعی هست ولی اصلا اجبار نمیکنه ، خیلی حواسش هست هزینه اضافه ایجاد نکنه # عمل زیبایی انجام نمیده ، خیلی با دقت گوش میده و خیلی با دقت همه چیز و برات توضیح میده ، فقط خیلی سرش شلوغه ، با ورزش مشکلی نداره
esfandiarisama;هدای عزیزم ممنون که دغدغه مردم سرزمینت رو داری❤️
elahe.valizade;خانم دکتر بنافتی ساری😍 یادمه بار اول که رفتم پیششون هشت سال پیش نپرسیدن ازدواج کردم یا نه پرسیدن امکان معاینه رو داریم دخترم
samieh.nami;شیراز. دکتر اسما معماردوست
monire_nazemi;دکتر مریم مرشدی شعر باف متخصص زنان و ژنتیک در مشهد . اما در حوضه نازایی دیگه کار نمیکنن
delbar.house;دکتر زهرا وزیری، تهران بیمارستان دی
behnaz.aj83;من میرفتم پیش خانم دکتر سودابه حسینیان.
mmvvv2016;دکتر فاطمه رمضان زاده فوق تخصص زنان همه این ویژگی ها رو داره اصرار به ورزش سلامت روان تاکید روی مشکلات و سختی های مادری و تاکید روی عدم استفاده از دمنوش و کندر و داروهای گیاهی و تاکید بر روی عدم هزینه های اضافی دارو و سونو و همه ی چیزهای که شما گفتی هدا جانم من و به شدت یاد شما می اندازه
golnaz.2021;@zohrehsalman زیادم هستند این کاسب ها
nastaran.s812;الان تشویق به عمل زیبایی آلت جنسی در بین پزشکان زنان زیاد شده
hanieh_ramezanian96;@homayuni.kh اینکه میگید وقت نمی‌ذارن رو موافق نیستم چون من خودم چندین بار پیش دکتر تیمورزاده رفتم و خیلی با حوصله جواب میدن👌اما در مورد اینکه به سزارین تشویق میکنن چون خب فک کنم پزشک مرد نمیتونه برای زایمان طبیعی باشه سرِ مریضش برای همین هم خانومایی که اولین بارداری رو دارن قبول نمیکنن
eli_safarlooo;ردیف 97 دکتر شکیباییان، چون ساعت سه نصفه شب کیسه اب پاره کردم، و ایشون تو راه بیمارستان تصادف کرده بودن، انقدر رفتار زشت و نامناسب همراه با هزاران توهین با من داشتن که من ازشون شکایت مردم اولین زایمان منو به بددددترین خاطره ام تبدیل کرد
sekinedarvishi7584;دکتر سعید فروزان. ساری
tinaasa;دکتر هلیا نیری. تهران. برخورد انسانی و ‌حرفه‌ای، و با حوصله که در نادر و گرانبهاست در ایران. تجربه بارداری ندارم مورد آخر رو نمیدونم مورد چهار هم امیدوارم در موردشون صدق کنه.
zahrasattarkhan;من نتونستم توی شیراز کسی رو با تمام این ویژگی ها پیدا کنم! با اینکه تجربه ی حداقل مراجعه به ۱۰ پزشک رو داشتم و حداقل ایرادی که وجود داره معاینه ی همزمان چند بیمار هست که خودم به شدت متنفرم ازش! امیدوارم که دوستانی که هستند از شیراز هم بگن
behnaz.aj83;البته ایشون مهاجرت کردند به کانادا.
zo.hreh913;ممنون😍😍
zahra_kazemzade;دکتر اعظم محمد میرزائی تهران
nastaranmzpv;هدا جان کلا خوزستان اهواز پزشک خوب انگشت شمار داره
najmeh1101;@happy_kazhal سلام ممنون از معرفي، مطب ايشون كجا هست؟ و اينكه نوبت به راحتي ميدهند؟ ممنونم
leila.music.learning;@razieh.sasani من یکبار رفتم پیششون خیلی بداخلاق بودن من که هیچ چیز مثبتی در ایشون ندیدم
tinaasa;@tinaasa تهران. سعادت اباد هست مطبشون
zeynab.mohammadali89;دکتر مژده حسینی.شیراز
cookies_to_fit;دکتر روح انگیز رحیمی #مشهد
rey.bagherie;من تا الان موقعیتی پیش نیومده که بخوام بقیه موارد رو چک کنم اما برای موارد یک تا سه با خیال راحت دکتر بهاره بدوشریف رو معرفی میکنم. من خیلی حوصله داشتن و مهربونی دکتر
melina_p7;مرسی واسه این پست خوبت هدااا جون ❤️
monire.aldaghi;دکتر شهره سعید، فوق تخصص جراحی های زنان، مشهد
mmvvv2016;یادم رفت بگم برای هر مریض نیم ساعت یا بیشتر وقت میزاره گاهی یه بعد ظهر فقط ۴ مریض ویزیت می کنه
inspiration__1984;دکتر شادمانی رشت به جز مورد آخر که من تجربه‌شو نداشتم
najmeh1101;@sepideh_sokhansanj سلام ممنون از معرفي ايشون، مطبشون كجاست؟ به راحتي نوبت ميدهند؟ ممنونم
salehi.teaching;من دکترم رو به خاطر اینکه به تصمیم من مبنی بر بچه دار نشدن احترام نمی‌گذاشت عوض کردم و هر بار به من عذاب وجدان میداد که سنت داره می‌ره بالا 😏
maryam69za;@zeynab.mohammadali89 من اصلا از برخودشون خوشم نیومد خیلی حس بد میدن
parsibon.education;دکتر غلامرضا کیوان‌پژوه، بسیار دلسوز باسواد و با تجربه خیابان ولیعصر - بالاتر از سه راه بهشتی - نبش کوچه نادر - پلاک 2109 - طبقه اول 02188712594
narad.kidshop;خانم دکتر سیده راضیه هاشمی بیمارستان بقیه‌الله تهران روزهای دوشنبه و چهارشنبه صبح
monire_nazemi;@hanie.hasani در حوضه نازایی هم کار میکنند
baharyazd;دكتر پاكروش تهران
z_sabeti_1985;@morvarid.askari کدوم شهر ؟
samane___gh0;زاهدان دکتر خوب نداره ؟
hadisba416;دکتر پروانه ایلخاص زاده اهواز
my_delicious_diet;@dr_ensafgoo با سلام ایشون تمام این شرایط رو دارند به نظر من 🙏🏻
arefeh.shakoori;دکتر سکینه مؤید محسنی تهران
rose.gallery2019;خانم دکتر منصوره علیرضایی(تهران)
omidifarzaneh;خانم دکتر جهرمی زاده در اصفهان، من تجربه خوبی باهاشون داشتم و مخصوصا در مورد ورزش در بارداری چقدر مشوقم بودن..و هنگام زایمان طبیعی هم موقع حضور همسر، کلیا تعریف کردن که چه ماهیچه های قوی دارم.و دقیقا نزدیک به زایمان مدام میگفتم ماشاالله چه ماهیچه های ران قوی داری، حتی اگر جدی هم نمیگفتن، حرفشون اون موقع خیلی برام اثر داشت و با حس توانمندی و قدرت برای زایمان زور میزدم😁😍
najmeh1101;@elham.elyana1 سلام ممنون از معرفي ايشون، مطبشون كجاست؟ و اينكه راحت نوبت ميدهند؟ ممنونم
shene.hp;تهران دکتر سکینه موید محسنی برای من عالی بوده
_fatemeh_nazari_;دکتر آتوسا باقری بهزاد-تهران🤍
z.ghasemi51;دکتر فرزانه عالیدوست اصفهان یکی از بهترین دکترهای زنان هست که من پیششون رفتم به غیر از مورد ورزش که نمی دونم نظرشون چیه بقیه موارد رو داشتن
nedjvd;دکتر رومینا روانبخش
nazanin.lachini;در همدان هیچ دکتر باسوادی وجود نداره،و اگر هم سواد نداشته باشه طبیعتاً نمیتونه هیچکدوم از این نکات رو رعایت کنه.
armita.beigi;@solmaz.nezamivand مامای کاردرست باسواد مهربون .تمام ویژگی های این لیست رو داره در شهر رشت
katayoon.hosseinii;کرمانشاه، دکتر مریم زنگنه. البته دو نفر همزمان میرن داخل، که اولی با مامای اونجا صحبت میکنه، بعد خود دکتر صحبت میکنه
shirinliving;تهران ولیعصر حدود توانیر، دکتر پرویز قره‌خانی
happiness.s11;@hanieh_ramezanian96 دکتر تیمورزاده از لحاظ اخلاق، دانش و تشخیص پزشکی بسیار بسیار بسیار عالی هستند👌🏻😊. یکی از بهترین پزشکان مشهد هستند. اما‌ نوبت دهی سخت و تعداد بالای مراجعه کننده دارند.
nargesmtd;😳😳😳😳 خانوم عزيز من ايشون رو بيشتر از ١٠ سال هست كه ميشناسم و تو مطبشون رفتو امد دارم ،یکبار شخص ناراضی و شاکی ندیدم از ایشون،انرژی مثبتش برای ورزش کردن من همیشه حس خوب بمن داده،همیشه با حوصله و اخلاق خوب پذیرای بیماراشونه،از نوشته های شما شوک شدم
mahtaabakbari;دکتر زهرا فرهادی تهران
pardiiis.shafiee;@omidifarzaneh تو دوران بارداری هم ازشون راضی بودید؟ از لحاظ نوبت دهی و اینا
yasaman_mzb_;@mamayemehraban
f_saravani;چقدر قشنگ😍
ravannevis2022;@gazanameh اگه بیمارستان امام برید پیششون اصلا مواردی که گفتید مهم نیست درس دادنشون به انترن ها مهمه و شما یه نمونه آزمایشگاهی هستید::: همین و بس
athena_aghajani;دکتر نوشین نظری @nazari_nooshin
baharan1820;اصفهان.خانم دکتر زهره بصیرت(درباره مورد آخر از نظر ایشون اطلاعی ندارم)
fatemeh_molaeifar;تهران دكتر فرحناز مهيار- دكتر ركسانا كارگر
elham.elyana1;مطبشون خیابان معدل اگه اشتباه نکنم معدل خ
manijebidhendi1355;دکتر ابوالفضل مهدیزاده، تهران تشریف دارند تمامی شرایط را دارند
sepidehziaee;دکتر ویدا سلطانی دستجردی، اصفهان خیابان دانشگاه. تمام شرایط رو دارند به علاوه که برای شنیدن صحبت، همدردی و القای آرامش... حاضرن کاملا وقت بذارن
jeyrran;دکتر زینا افراسیاب تهران
fatemeebrahimi_a;خرم اباد کسی نیست؟😢
maryam69za;@zeynab.mohammadali89 و دانشجو میارن برای آموزش وقتی میخوان معاینه کنن اصلا جالب نیست
arezoo.shariifii;دکتر سیما سرتاج اصفهان
